totalThroughput,totalDownloadTime,timeStamp,cpuUsage,timeStamp,avgRotationAngle,video,user,energy
10201976.0,203.2894736842105,2025-04-06 16:15:54,47.1,5,0.05043344119202565,4,1,462.0
3142763.0,565.5,2025-04-06 16:15:55,31.2,6,0.14932854413307986,4,1,462.0
3142763.0,565.5,2025-04-06 16:15:56,44.6,7,0.10661469439878853,4,1,462.0
4930493.0,342.35714285714283,2025-04-06 16:15:57,35.9,8,0.24129198479647937,4,1,462.0
10875989.0,344.9310344827586,2025-04-06 16:15:58,30.8,9,0.7287597122017164,4,1,462.0
11158162.0,352.6666666666667,2025-04-06 16:15:59,31.1,10,0.40620393564242396,4,1,462.0
11158162.0,352.6666666666667,2025-04-06 16:15:59,31.1,11,0.4296827687592591,4,1,462.0
4002753.0,275.1111111111111,2025-04-06 16:15:59,31.1,10,0.40620393564242396,4,1,462.0
4002753.0,275.1111111111111,2025-04-06 16:15:59,31.1,11,0.4296827687592591,4,1,462.0
414872.0,,2025-04-06 16:16:01,31.5,12,0.16740760817192687,4,1,462.0
7070757.0,274.10526315789474,2025-04-06 16:16:02,49.4,13,0.12606314478899847,4,1,462.0
10570757.0,297.51851851851853,2025-04-06 16:16:03,33.6,14,0.037522523535297274,4,1,462.0
10758023.0,283.7307692307692,2025-04-06 16:16:04,29.2,15,0.025211037223815562,4,1,462.0
3102655.0,82.6,2025-04-06 16:16:05,50.1,16,0.06755574670920138,4,1,462.0
207832.0,2.0,2025-04-06 16:16:06,31.9,17,0.3043020588147095,4,1,462.0
4660053.0,301.3636363636364,2025-04-06 16:16:07,33.0,18,0.5514782291653115,4,1,462.0
11313528.0,350.0833333333333,2025-04-06 16:16:08,35.1,19,0.8040294147597952,4,1,462.0
16279805.0,388.6875,2025-04-06 16:16:09,36.1,20,0.4192804886397526,4,1,462.0
11384067.0,420.5263157894737,2025-04-06 16:16:10,32.5,21,0.05518239065512308,4,1,462.0
3918604.0,524.75,2025-04-06 16:16:11,29.4,22,0.030662454796875026,4,1,462.0
3333147.0,176.9090909090909,2025-04-06 16:16:12,33.7,23,0.024498457942725486,4,1,462.0
5725531.0,152.70833333333334,2025-04-06 16:16:13,43.6,24,0.023693814486504653,4,1,462.0
5791827.0,146.68,2025-04-06 16:16:14,34.1,25,0.04182414305642879,4,1,462.0
2410322.0,22.25,2025-04-06 16:16:15,40.7,26,0.021072446697997873,4,1,462.0
66296.0,2.0,2025-04-06 16:16:16,73.6,27,0.023241778599106547,4,1,462.0
2754936.0,236.44444444444449,2025-04-06 16:16:17,68.5,28,0.02217237792871183,4,1,462.0
5309413.0,195.55,2025-04-06 16:16:18,37.1,29,0.01780388648192707,4,1,462.0
