input_file,n,si,ti
video_4.mp4,583,31.144,8.995
video_4.mp4,584,30.852,10.949
video_4.mp4,585,30.145,11.048
video_4.mp4,586,29.872,12.343
video_4.mp4,587,30.244,13.491
video_4.mp4,588,30.917,23.022
video_4.mp4,589,30.646,24.307
video_4.mp4,590,30.63,24.488
video_4.mp4,591,30.698,24.081
video_4.mp4,592,30.95,20.92
video_4.mp4,593,31.625,24.002
video_4.mp4,594,32.729,24.233
video_4.mp4,595,34.12,23.134
video_4.mp4,596,34.97,19.158
video_4.mp4,597,34.85,20.745
video_4.mp4,598,32.357,19.904
video_4.mp4,599,31.669,13.881
video_4.mp4,600,31.097,11.928
video_4.mp4,601,30.946,11.083
video_4.mp4,602,30.881,8.621
video_4.mp4,603,30.807,10.187
video_4.mp4,604,30.454,9.856
video_4.mp4,605,30.237,9.757
video_4.mp4,606,29.848,9.972
video_4.mp4,607,29.748,7.966
video_4.mp4,608,29.338,10.865
video_4.mp4,609,28.99,12.115
video_4.mp4,610,28.315,15.815
video_4.mp4,611,27.862,15.789
video_4.mp4,612,27.365,10.256
video_4.mp4,613,26.483,12.426
video_4.mp4,614,25.964,12.499
video_4.mp4,615,25.266,10.963
video_4.mp4,616,24.748,10.478
video_4.mp4,617,24.531,7.608
video_4.mp4,618,24.233,10.395
video_4.mp4,619,23.726,10.483
video_4.mp4,620,23.36,10.807
video_4.mp4,621,23.503,11.893
video_4.mp4,622,23.277,8.063
video_4.mp4,623,23.272,11.678
video_4.mp4,624,23.754,11.315
video_4.mp4,625,23.575,11.045
video_4.mp4,626,23.451,7.893
video_4.mp4,627,23.055,9.882
video_4.mp4,628,23.108,9.609
video_4.mp4,629,23.265,9.371
video_4.mp4,630,23.213,9.146
video_4.mp4,631,23.183,5.669
video_4.mp4,632,23.257,7.588
video_4.mp4,633,23.205,7.518
video_4.mp4,634,23.002,7.417
video_4.mp4,635,22.898,6.622
video_4.mp4,636,22.772,4.488
video_4.mp4,637,22.866,6.586
video_4.mp4,638,22.918,6.917
video_4.mp4,639,22.955,7.915
video_4.mp4,640,23.033,8.036
video_4.mp4,641,22.961,5.67
video_4.mp4,642,23.087,9.081
